Survey,Title,Description,Where is it located.lat,Where is it located.lon,updated,source
Facilities,Govt food facility,GYAN SAROVER BAL NIKETAN S.B.S. COLONY,28.7303979,77.2628532,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,GYAN SAROVER BAL NIKETAN S.B.S. COLONY,28.7303979,77.2628532,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"MCD Primary School (Girls) - Ankur Enclave Karawal Nagar, Delhi",28.7267858,77.2703031,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"MCD Primary School (Girls) - Ankur Enclave Karawal Nagar, Delhi",28.7267858,77.2703031,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Nigam Pratibha Vidyalaya (Girls) - Dayalpur, Delhi",28.7167695,77.2640877,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Nigam Pratibha Vidyalaya (Girls) - Dayalpur, Delhi",28.7167695,77.2640877,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Adharshila Convent school, Shop No.C3, 136, Block-M, Sadarpur, Karawal Nagar",28.72157,77.261739,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Adharshila Convent school, Shop No.C3, 136, Block-M, Sadarpur, Karawal Nagar",28.72157,77.261739,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"MCD Primary School (Boys) - Chanderpuri (Chand Bag), Delhi",28.7900627,77.1650596,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"MCD Primary School (Boys) - Chanderpuri (Chand Bag), Delhi",28.7900627,77.1650596,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Nigam Pratibha Vidyalaya (Girls) - B- Block, Khajoori Khas, Delhi",28.7167695,77.2640877,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Nigam Pratibha Vidyalaya (Girls) - B- Block, Khajoori Khas, Delhi",28.7167695,77.2640877,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Nav Jeevan Adarsh Pubic School,28.7155043,77.2505111,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Nav Jeevan Adarsh Pubic School,28.7155043,77.2505111,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"MCD Primary School (Girls) - Rajeev Nagar, Khajoori Khas, Delhi",28.7129663,77.2600393,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"MCD Primary School (Girls) - Rajeev Nagar, Khajoori Khas, Delhi",28.7129663,77.2600393,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"New Seelampur, Gurudwara Road- G(Co-ed)MS",28.673781,77.266646,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"New Seelampur, Gurudwara Road- G(Co-ed)MS",28.673781,77.266646,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Shastri Park, Buland Masjid, SBV",28.6720614,77.2524486,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Shastri Park, Buland Masjid, SBV",28.6720614,77.2524486,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Brahmpuri-SBV,28.6754503,77.2624086,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Brahmpuri-SBV,28.6754503,77.2624086,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Nigam Pratibha Vidyalaya (Girls) - Jagjivan Nagar Kaithwara, Delhi",28.5367567,77.2140345,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
